PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
4,Lazio Roma,26,14,6,6,11,48,33,22,5,12,6,0,6,5,18,22,17,1.5,1.85,-0.35,2010-2011
5,Udinese Calcio,26,13,5,8,12,44,42,30,4,12,7,1,4,10,22,23,13,1.83,1.69,0.14,2010-2011
6,AS Roma,26,12,6,8,3,42,39,36,6,12,6,3,3,4,21,20,16,1.75,1.62,0.13,2010-2011
7,Juventus,26,11,8,7,9,41,41,32,7,12,4,5,3,1,17,16,15,1.42,1.58,-0.16,2010-2011
8,US Palermo,26,12,4,10,8,40,44,36,8,12,5,1,6,-13,16,14,27,1.33,1.54,-0.21,2010-2011
9,Cagliari Calcio,26,10,5,11,4,35,32,28,14,12,2,4,6,-11,10,12,23,0.83,1.35,-0.52,2010-2011
10,Genoa CFC,26,9,8,9,-1,35,24,25,10,12,5,1,6,-1,16,21,22,1.33,1.35,-0.02,2010-2011
11,ACF Fiorentina,26,8,9,9,0,33,28,28,9,12,4,6,2,5,18,21,16,1.5,1.27,0.23,2010-2011
12,Bologna FC,26,9,8,9,-7,32,27,34,16,12,2,4,6,-10,10,8,18,0.83,1.23,-0.4,2010-2011
13,Chievo Verona,26,7,10,9,-1,31,28,29,11,12,4,3,5,-1,15,10,11,1.25,1.19,0.06,2010-2011
14,Sampdoria,26,7,10,9,-4,31,23,27,18,12,1,2,9,-12,5,10,22,0.42,1.19,-0.77,2010-2011
15,Parma FC,26,6,9,11,-11,27,25,36,12,12,5,4,3,3,19,14,11,1.58,1.04,0.54,2010-2011
16,US Lecce,26,7,6,13,-18,27,28,46,17,12,4,2,6,-2,14,18,20,1.17,1.04,0.13,2010-2011
17,Calcio Catania,26,6,8,12,-12,26,22,34,13,12,6,2,4,0,20,18,18,1.67,1.0,0.67,2010-2011
18,Brescia Calcio,26,6,5,15,-13,23,20,33,19,12,1,6,5,-5,9,14,19,0.75,0.88,-0.13,2010-2011
19,AC Cesena,26,5,7,14,-17,22,19,36,15,12,6,3,3,5,21,19,14,1.75,0.85,0.9,2010-2011
20,AS Bari,26,3,6,17,-26,15,14,40,20,12,2,3,7,-3,9,13,16,0.75,0.58,0.17,2010-2011
